business_name,doctor_name,specialty,city,colonia,address,phone,whatsapp,email,instagram,website,maps_url,rating,reviews_count,source_channel,notes
Dentistar,,Odontología General,Cancún,Supermanzana 20 Centro,Av. Tulum 173 Mza 3,9998881234,1,,,,,,,seccion_amarilla,
Depósito Dental Express,,Odontología General,Cancún,Supermanzana 27,Av. Chichén Itzá Mza 7 Lote 13 Int. A,9988849101,1,,,depositoexpress.com,,,,seccion_amarilla,"Website propio"
Dental Infantil,,Odontopediatría,Cancún,Supermanzana 28,Av. Xel-Ha Plaza Bonita Local 5H Planta Alta,9988847319,1,,,dentalinfantil.com.mx,,,,seccion_amarilla,"Odontopediatría especializada + website propio"
Cancún Dental Design,,Odontología General,Cancún,Zona Hotelera,Del Rey 39,9988407299,1,,,,,,,seccion_amarilla,"Zona Hotelera = pacientes premium + turistas"
Clínica Dental Merydent,,Odontología General,Cancún,Supermanzana 94,Av. José López Portillo 14,9989391247,1,,,,,,,seccion_amarilla,
Consultorio Dental Av. Luna,,Odontología General,Cancún,Supermanzana 507,Av. Luna 13A,9982679060,1,,,,,,,seccion_amarilla,
Dental Ávila,,Odontología General,Cancún,Supermanzana 52,Supermanzana 50 Lote 97,9982770082,1,,,,,,,seccion_amarilla,
Consultorio Dental Ani Carranza,Ani Carranza,Odontología General,Cancún,Supermanzana 47,Av. del Sol SM 47 Mz 4 Lote 36,9981213166,1,,,,,,,medicinpro,
Consultorio Dental Gihanna Plaza,Gihanna Plaza,Odontología General,Cancún,Supermanzana 16,Plaza Skay Av. Rodrigo Gómez SM 16 Planta Baja,9983993342,1,,,,,,,medicinpro,
Consultorio Dr. Ricardo Casanova Almeida,Dr. Ricardo Casanova Almeida,Odontología General,Cancún,Centro,Calle 69 No. 25 SM 61 Mz 4 Lt 20,9988846349,1,,,,,,,medicinpro,
Consultorio Dra. Paulina Cecco,Dra. Paulina Cecco,Endodoncia,Cancún,Lombardo Toledano,Plaza Esmeralda Av. López Portillo Mz 48 L1,6623250074,1,,,,,,,medicinpro,"Endodoncista — alto valor"
