business_name,doctor_name,specialty,city,colonia,address,phone,whatsapp,email,instagram,website,maps_url,rating,reviews_count,source_channel,notes
My Dentist Consultorio Dental,,Odontología General,Culiacán,Guadalupe,Álvaro Obregón 1215,6673169423,1,,,,,,,seccion_amarilla,"Nombre en inglés — dental branding"
Consultorio Dr. Gilberto Sarabia Mendoza,Dr. Gilberto Sarabia Mendoza,Odontología General,Culiacán,Centro,Francisco Villa Ote. 93,6677127107,1,,,,,,,seccion_amarilla,
Consultorio Dra. Libia Marisela Escudero García,Dra. Libia Marisela Escudero García,Odontología General,Culiacán,Tres Ríos,Pedro Infante 1617,6677662229,1,,,,,,,seccion_amarilla,"Tres Ríos zona premium"
Consultorio Dra. Kelly Laura Lucía Acosta,Dra. Kelly Laura Lucía Acosta,Odontología General,Culiacán,Los Pinos,Av. Nicolás Bravo 1633,6677159318,1,,,,,,,seccion_amarilla,
Consultorio Dr. José Israel Aispuro Félix,Dr. José Israel Aispuro Félix,Odontología General,Culiacán,Centro,Calle Miguel Hidalgo 503 PA B,6677123934,1,,,,,,,seccion_amarilla,
Consultorio Dr. Juan Alberto Alarcón Martín,Dr. Juan Alberto Alarcón Martín,Odontología General,Culiacán,Centro,Calle Escobedo 349 Int 7,6677161177,1,,,,,,,seccion_amarilla,
Asedent,,Odontología General,Culiacán,Centro,Blvd. Francisco I. Madero 290,6677160857,1,,,,,,,seccion_amarilla,
Consultorio Dr. Leonardo Baeza Aguilar,Dr. Leonardo Baeza Aguilar,Odontología General,Culiacán,Bugambilias,Blvd. Alcatraz 3764,6677603674,1,,,,,,,seccion_amarilla,
Consultorio Dra. Kristell Guadalupe Bajo López,Dra. Kristell Guadalupe Bajo López,Odontología General,Culiacán,Villa Universidad,Blvd. de las Américas 2575 CECOM,6677291054,1,,,,,,,seccion_amarilla,
Consultorio Dr. Pastor Genaro Bojórquez Gaxiola,Dr. Pastor Genaro Bojórquez Gaxiola,Odontología General,Culiacán,Las Quintas,Av. Doctor Mora 1483,6677522299,1,,,,,,,seccion_amarilla,"Las Quintas zona premium"
Consultorio Dra. Cintia Carranza López,Dra. Cintia Carranza López,Odontología General,Culiacán,Tulipanes,Blvd. Diamantes 2891,6677500327,1,,,,,,,seccion_amarilla,
Consultorio Dr. Javier Rubén Castaños Sosa,Dr. Javier Rubén Castaños Sosa,Odontología General,Culiacán,FITSE,Blvd. Nevado de Toluca 1631,6677165400,1,,,,,,,seccion_amarilla,
Consultorio Dr. Sergio Luis Castro Respaldo,Dr. Sergio Luis Castro Respaldo,Odontología General,Culiacán,Jorge Almada,Juan José Ríos 114,6677123058,1,,,,,,,seccion_amarilla,
Consultorio Dr. Javier Omar Cázares Zazueta,Dr. Javier Omar Cázares Zazueta,Odontología General,Culiacán,Centro,Av. Álvaro Obregón 2475,6677157980,1,,,,,,,seccion_amarilla,
Consultorio Dr. Carlos Cázarez Quiroz,Dr. Carlos Cázarez Quiroz,Odontología General,Culiacán,Miguel Alemán,Juan J. Ríos 162 Ote,6677139619,1,,,,,,,seccion_amarilla,
Centro de Especialidades Dentales Tres Ríos,,Odontología General,Culiacán,Tres Ríos,Blvd. Diego Valadez 164 Int 203,6677521548,1,,,,,,,seccion_amarilla,"Multi-especialidad + Tres Ríos premium"
Centro Dental Láser y Estética Facial,,Odontología Estética,Culiacán,Centro,Av. Insurgentes 879 Sur,6677165063,1,,,,,,,seccion_amarilla,"Láser + estética facial — alto valor"
Consultorio Dra. Mayra Ofelia Cerpa Gaxiola,Dra. Mayra Ofelia Cerpa Gaxiola,Odontología General,Culiacán,Centro,Blvd. Las Torres 3144,6677603514,1,,,,,,,seccion_amarilla,
Clínica de Especialidades Dentales Guadalupe,,Odontología General,Culiacán,Guadalupe,Calle Cds Hermanas 465 Int 2,6677155258,1,,,,,,,seccion_amarilla,"Multi-especialidad"
Clínica Dental Bribiesca,,Odontología General,Culiacán,Jorge Almada,Calle Francisco Villa 701 Pte,6677135918,1,,,,,,,seccion_amarilla,
Clínica Dental Navilian,,Odontología General,Culiacán,Centro Sinaloa,Priv. Venustiano Carranza 166,6677125220,1,,,,,,,seccion_amarilla,
