business_name,doctor_name,specialty,city,colonia,address,phone,whatsapp,email,instagram,website,maps_url,rating,reviews_count,source_channel,notes
Clínica Dental Juárez,,Odontología General,Hermosillo,Misión del Real,Av. Constituyentes 113,6622048020,1,,,clinicadentaljuarezmx.com,,,,seccion_amarilla,"Website propio"
New Dental,,Odontología General,Hermosillo,Santa Fe,Plaza Andenes Local 224 - Blvd. Donaldo Colosio,6621047767,1,,,newdentalhermosillo.com,,,,seccion_amarilla,"Website propio + plaza comercial"
Diamond Smile,,Odontología General,Hermosillo,Las Granjas,Calle Catalana 2,6622172368,1,,,diamondsmile.com.mx,,,,seccion_amarilla,"Website propio"
Espinoza Clínica Dental,,Odontología General,Hermosillo,Bella Vista,Blvd. Las Torres 604,6622161300,1,,,espinozaclinicadental.com,,,,seccion_amarilla,"Website propio"
Consultorio Dra. Xóchitl Rojas,Dra. Xóchitl Rojas,Odontología General,Hermosillo,La Paloma,Blvd. José María Morelos 655,6622157435,1,,,dentistaxochitlrojas.com.mx,,,,seccion_amarilla,"Website propio"
Consultorio Dr. Fernando Huez López,Dr. Fernando Huez López,Odontología General,Hermosillo,Luis Encinas,Calle Simón Bley 427,6622161254,1,,,dentistahuezlopez.com,,,,seccion_amarilla,"Website propio"
Consultorio Dr. César Arturo Cuevas Rentería,Dr. César Arturo Cuevas Rentería,Odontología General,Hermosillo,Balderrama,Bernardo Reyes 255,6622142520,1,,,,,,,seccion_amarilla,
Depósito Dental Pro-Dent,,Odontología General,Hermosillo,Centro,Jalisco 8,6622681579,1,,,,,,,seccion_amarilla,
Consultorio Anaxochitl Reséndiz de Leija,Anaxochitl Reséndiz de Leija,Odontología General,Hermosillo,Choyal,Ave. Saturnino Campoy 627,6622166925,1,,,,,,,seccion_amarilla,
Dentistas SN Leo Centro,,Odontología General,Hermosillo,Centro,Ave. Monterrey 9,6622138243,1,,,,,,,seccion_amarilla,"Sucursal Centro"
Consultorio Dra. Alma Delia Acosta Sánchez,Dra. Alma Delia Acosta Sánchez,Odontología General,Hermosillo,Centenario,Calle Dr. Noriega 161-A,6621694065,1,,,,,,,seccion_amarilla,
Dentistas SN Leo Colinas,,Odontología General,Hermosillo,Colinas,Ave. Congreso 39,6622111097,1,,,,,,,seccion_amarilla,"Sucursal Colinas"
Dentistas SN Leo Bugambilias,,Odontología General,Hermosillo,Bugambilias,Ave. 10 No 65,6626881113,1,,,,,,,seccion_amarilla,"Sucursal Bugambilias"
Consultorio Dr. Heriberto Bujanda Wong,Dr. Heriberto Bujanda Wong,Odontología General,Hermosillo,San Benito,Av. Tamaulipas 191,6622155959,1,,,,,,,medicinpro,
Consultorio Dr. Oliver Aguirre,Dr. Oliver Aguirre,Odontología General,Hermosillo,Balderrama,C. José Carmelo 129,6623135221,1,,,,,,,medicinpro,
Consultorio Dr. Jesús García Oviedo,Dr. Jesús García Oviedo,Odontología General,Hermosillo,Centro,Av. Luis Donaldo Colosio Murrieta 75,6622120193,1,,,,,,,medicinpro,
Consultorio Dr. Jorge Luis Domínguez Duarte,Dr. Jorge Luis Domínguez Duarte,Odontología General,Hermosillo,Centro,Av. Gastón Madrid 28,6624044767,1,,,,,,,medicinpro,
Consultorio Dr. José Luis Chávez Salcido,Dr. José Luis Chávez Salcido,Odontología General,Hermosillo,Olivares,Av. Othón Almada 361,6622167271,1,,,,,,,medicinpro,
Consultorio Dr. Sergio Ávila Pacheco,Dr. Sergio Ávila Pacheco,Odontología General,Hermosillo,Los Viñedos,Blvd. Solidaridad 655,6623121471,1,,,,,,,medicinpro,
Consultorio Dra. Karina Bujanda,Dra. Karina Bujanda,Ortodoncia,Hermosillo,San Benito,Av. Tamaulipas 189 A,6622140658,1,,,,,,,medicinpro,"Rehabilitación oral + ortodoncia + diseño sonrisa"
