business_name,doctor_name,specialty,city,colonia,address,phone,whatsapp,email,instagram,website,maps_url,rating,reviews_count,source_channel,notes
HR Consultorio Dental,,Odontología General,Los Mochis,Fracc Cuauhtémoc,Blvd Canuto Ibarra Guerrero 577,6681363046,1,,,,,,,cercademiubicacion,"Servicios: limpieza, endodoncia, prótesis"
Dra. Yanive López Odontología Integral,Dra. Yanive López,Odontología General,Los Mochis,Centro,Av. Santos Degollado 642,6681144982,1,,,,,,,cercademiubicacion,"Cosmética + preventiva"
Dental Flex Los Mochis,,Odontología General,Los Mochis,Centro,Av. Independencia 905 A,6681502345,1,,,,,,,cercademiubicacion,"Ortodoncia + blanqueamiento + resinas"
Dental Plus de Los Mochis,,Odontología General,Los Mochis,Centro,Diente de León 1350,6688561653,1,,,,,,,cercademiubicacion,"Limpieza + blanqueamiento + ortodoncia"
Consultorio Dental Pedro Anaya,,Odontología General,Los Mochis,Santa Teresa,Blvrd Pedro Anaya 909,6681230243,1,,,,,,,cercademiubicacion,"Ortodoncia + odontología estética + implantología"
DentalCL,,Odontología General,Los Mochis,Centro,Calle Seminario 1589,6681571210,1,,,,,,,cercademiubicacion,"Implantes + limpieza + blanqueamiento"
Consultorio Dr. Hector Alvarez R.,Dr. Hector Alvarez R.,Odontología General,Los Mochis,Centro,Vicente Guerrero s/n,6688129922,1,,,,,,,dentistacercademi,
Viñedos Ortodoncia,,Ortodoncia,Los Mochis,Viñedos,Jade 952,6681388295,1,,,,,,,clinicasortodoncistas,"Especialistas en ortodoncia — alto valor MX$"
Vía Dental,,Odontología General,Los Mochis,Fátima,Calle Gral. Rafael Buelna 800,6688122763,1,,,viadental.com.mx,,,,clinicasortodoncistas,"Tiene website propio — clínica establecida"
Consultorio Dra. Neiba Romero Guerrero,Dra. Neiba Romero Guerrero,Ortodoncia,Los Mochis,Centro,Av. Aquiles Serdán 591-1 Esq. Guerrero,6681909033,1,,,,,,,clinicasortodoncistas,"Invisalign Doctor certificada — premium segment"
Dentavida Ortodoncia y Odontología Familiar,,Ortodoncia,Los Mochis,Sector El Parque,Blvd. Juan de Dios Bátiz 400,6688201666,1,,,,,,,clinicasortodoncistas,"Ortodoncia familiar — pacientes recurrentes"
Dentalove,Dra. Sonia Osuna,Odontología General,Los Mochis,Centro,Guillermo Prieto 336 Altos,6681644148,1,,,,,,,clinicasortodoncistas,
