business_name,doctor_name,specialty,city,colonia,address,phone,whatsapp,email,instagram,website,maps_url,rating,reviews_count,source_channel,notes
Consuldent Cancún,Dra. Gabriela Valdéz Lizama,Odontología General,Cancún,Centro,"Cancún, Q. Roo",9988843135,9988457136,info@consuldentcancun.com,,https://www.consuldentcancun.com/,,,,website,"25+ años; multiespecialidad; titular UADY; multi-doctor pequeño; bilingüe pacientes US"
OrtoDental Cancun,Dra. Esperanza Martínez Almazán,Ortodoncia,Cancún,Mónaco,"Calle Tortuga 353, Sm 51 Fracc. Mónaco, Cancún",9988870830,9982800519,,,https://ortodentalcancun.com/,,,,website,"Ortodoncia + ATM + ortopedia maxilofacial; titular única consultorio independiente; tickets MX local"
Ortodoncia Biológica Estética Dental,Dra. Adela Zamudio,Ortodoncia,Cancún,Centro,"Av. Bonampak SM4A M1 Lote 4C, Cancún",9981235511,2291063072,,@orto_dra_adela_zamudio,https://www.ortodonciabiologica.com/,,,,website,"Ortodoncia + ortopedia + estética + ATM; titular única; opera Cancún + Veracruz; tickets premium"
Ro Dental,Dr. Alberto Guevara,Implantología,Cancún,Álamos,"Plaza Corner Center Local 202, Av. Huayacán Mz 30, Col. Álamos, 77533 Cancún",9981876859,9981876859,,@ro.dentalcancun,https://rodental.com.mx/,,,,website,"Pareja titulares Dr. Guevara prosto-implantólogo + Dra. Carina Guevara odontopediatra; consultorio único Huayacán; mid-premium local"
Cliodent,Dra. Carina Guevara,Odontopediatría,Cancún,Smz 320,"Las Palmas 135, Smz 320, 77536 Cancún",9983138106,9982943836,,@cliodent_kids,https://www.odontopediatracliodent.com/,,,,website,"Odontopediatría zona sur; multi-doctor pequeño 3 dentistas titulares pareja + colega; 27+ años"
Dental Infantil,Dr. Octavio Acevedo Gaona,Odontopediatría,Cancún,SM 28,"Avenida Xel-Ha, Plaza Bonita Local 5H Planta Alta, Mza 1 y 2, SM 28, 77509 Cancún",9988847319,9981969034,dr.octag@yahoo.com.mx,,https://www.dentalinfantil.com.mx/,,,,website,"Odontopediatría pareja Acevedo + Castillo egresados Inst. Nacional Pediatría; 30+ años; tickets locales"
Dra. Wendy Sosa Dentista Biológica,Dra. Wendy Sosa,Odontología General,Cancún,Álamos,"Av. Huayacán, Plaza Aura Local 16, Cancún, Q.R.",9988464800,9988464800,dra.wendysosa1@gmail.com,@dra.wendysosa1,https://drawendysosa1.wixsite.com/drawendysosa,,,,website,"Dentista biológica/holística; titular única; ICP perfecto wellness/expat; podría atender pacientes US wellness"
Smile Dent,Dr. Adrian Casado,Odontología General,Cancún,Centro,"Cancún, Q.R.",5540065214,5540065214,,@consultoriodentalsmiledent,https://smiledent.com.mx/,,,,website,"Multi-doctor pequeño 4 titulares: Casado + Pantoja + Nieves maxilo + García orto; Dr. Mayorga odontopediatra colaborador"
Tropical Dental Studio,,Estética Dental,Cancún,Plaza Gamura,"Avenida de los Colegios, Plaza Gamura, 77560 Cancún",9982388057,9982388057,,@tropicaldentalstudiocancun,https://www.tropicaldental.studio/,,,,website,"Estética + implantes + diseño de sonrisa; consultorio único; tickets premium locales"
Prodent Cancún,Dra. Diana M. López Canto,Endodoncia,Cancún,SM 3,"Calle Sierra esquina Bonampak, SM 3, 77500 Cancún",9988842192,9988600477,recepcion@prodentcancun.com,,https://www.prodentcancun.com/,,,,website,"27+ años; multi-doctor pequeño 5 titulares mujeres especialistas; bilingüe; emergencias 24/7"
Clínica Dental Quirúrgica,Dra. Hinojosa,Cirugía Oral,Cancún,SM 44,"Plaza Alivia, SM 44 Mz 10 Lt 2 Loc P102, Av. La Luna, 77506 Cancún",9984772827,9981471943,,,https://clinicadentalquirurgica.com/,,,,website,"Cirugía oral + prótesis; titular Dra. Hinojosa con equipo pequeño; mid-tier local"
Kamak Clínica Dental,Dra. Mariana Mariscal,Odontología General,Cancún,Álamos,"Avenida México 9, 77533 Cancún",9982034615,9982034615,kamak.clinicadental@gmail.com,@kamakdental,https://kamakclinicadental.com/,,,,website,"Multi-doctor 5 titulares mujeres + 1 maxilofacial; multiespecialidad; tickets locales clase media"
GNUX Dental Cancún,Dra. Geno,Odontología General,Cancún,,"Cancún, Q.R.",9983295199,9983295199,,@gnuxdental,https://gnuxdental.com/,,,,website,"Multiespecialidad chica; titular Dra. Geno; brackets + implantes + odontopediatría"
Cancun Smile Wellness Center,Dra. Wendy Sosa,Odontología General,Cancún,Álamos,"Plaza Aura, Av. Huayacán, Cancún, Q.R.",9988843952,9988843952,,,https://www.cancunsmile.com/,,,,website,"Centro de bienestar; multi-doctor pequeño endodoncia + periodoncia + implante + maxilo + psicología infantil"
Ameridental Cancún,Dr. Erick Y. Saucedo Mtz,Endodoncia,Cancún,Centro,"Cancún, Q.R.",9981255572,9981255572,ameridental.cancun@gmail.com,@ameridentalcancun,https://ameridentalcancun.com/,,,,website,"Titular único Dr. Saucedo doble especialidad endo + implante; bilingüe español/inglés/ruso; 24/7"
Dra. Lorenny Tinjacá Ortodoncia,Dra. Lorenny Tinjacá,Ortodoncia,Cancún,SM 44,"Avenida de la Luna 5, Mz 15 Lote 1, entre Oyamel y Encino, Cancún",9984404550,9984404550,clinica@dralorennyortodoncia.com,@dra.lorennyortodoncia,https://dralorennyortodoncia.com/,,,,website,"Invisalign Top Doctor + iTero Provider; cédula 12775690; titular única; IG 6.6k seguidores"
Dental Design Studio Cancún,,Estética Dental,Cancún,SM 3,"Av. Bonampak, Plaza Vía Loc V7-10, 1er piso, SM 3, 77500 Cancún",9988920777,9988920777,,@dentaldesignstudiocancun,https://dentaldesign-studio.com/,,,,website,"Multi-doctor mediano; tickets USD; sólo dental tourism US/Canadá; borderline grande pero referencia útil"
Mis Dientes Cancún,Dra. Silvia Arias Juárez,Odontología General,Cancún,Tierra Maya,"Calz. Tierra Maya 124, 77539 Cancún",9988456040,9988456040,,,https://misdientescancun.com/,,,,website,"Titular Dra. Silvia 26 años exp; clínica 11 años; limpiezas + endo + prótesis + implantes; multi-doctor pequeño"
Smart Smiles Cancun,Dra. Laura,Estética Dental,Cancún,Zona Hotelera,"Cancún Zona Hotelera",9988234356,9988234356,,@smartsmilescancun,https://smartsmilescancun.com/,,,,website,"Boutique Zona Hotelera; multi-doctora chica; estética + implantes + diseño digital; tickets USD"
Unique Clínica Dental Cancún,Dr. Emilio Cueli,Estética Dental,Cancún,Zona Hotelera,"Av. Sayil esq. Bonampak SM 6 Mz 5 Lt 2, Zona Hotelera, 77503 Cancún",9988900065,9988900065,,@clinicuniquecancun,https://clinicunique.com.mx/,,,,website,"Boutique 3 titulares Cueli + Canul restaurativo + Reyes cirugía oral; pacientes internacionales"
GOLDENT Cancún,,Odontología General,Cancún,Región 233,"Av. Costa Maya, Región 233, Cancún",9981420203,9981420203,,@goldent_cancun,,,,,instagram,"Consultorio independiente Av. Costa Maya zona popular; tickets locales clase obrera turismo"
Calident Cancún,,Odontología General,Cancún,Centro,"Plaza Galerías, Av. Tulum, Cancún",9988875640,9988875640,,,https://calidentcancun.com.mx/,,,,website,"Plaza Galerías centro Cancún; multi-doctor pequeño multiespecialidad; tickets locales medio"
Pediatra Dra. Aguilar Rivero,Dra. Aguilar Rivero,Odontopediatría,Cancún,Centro,"Cancún, Q.R.",9986889330,9984209340,dra.aguilar.rivero@gmail.com,,https://www.odontopediatracancun.com/,,,,website,"Titular única odontopediatra; consultorio independiente; tickets locales"
Odontopediatra Dra. Loretta Gaona,Dra. Loretta Gaona Chávez,Odontopediatría,Cancún,SM 3,"Av. Bonampak 4 y 5 PH 3 SM 3 Mza 1, Cancún",9988832134,9988832134,,,https://draodontopediatra.wixsite.com/cancun,,,,website,"Titular única; junto a Starbucks Bonampak; mid-tier local"
Dra. Aniria Castellanos Endodoncia,Dra. Aniria Castellanos,Endodoncia,Cancún,SM 6,"Pabellón Bonampak Local 203, Av. Sayil SM 6, Cancún",9981903639,9981903639,,,,,,,google-search,"Endodoncia + apical surgery; titular única UABC; cédula esp 12353904; consultorio independiente; pacientes US potencial"
Dra. Cristina Campos,Dra. Cristina Campos,Odontología General,Cancún,Zona Hotelera,"Av. Sayil Lote 2, Zona Hotelera, Cancún",9988830001,9988830001,,,,,,,google-search,"25+ años; estética + general; titular única Zona Hotelera; tickets USD potencial"
Dra. Africa Aranda Ortodoncia,Dra. Africa Aranda de la Torre,Ortodoncia,Cancún,SM 19,"Pabellón Caribe, Av. Nichupté 22, Smza 19, Cancún",9988832929,9988832929,,,,,,,google-search,"Ortodoncista titular única; Pabellón Caribe Av. Nichupté; tickets locales mid"
